Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,CONSO(Watt),I,PDUOndulé,PDUNormal,cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,"FCTotal","FCUtilisé","RJ45Total","RJ45Utilisé","RJ45Futur","IPMIUtilisé","IPMIFutur","RJ45CM","IPMIDédié",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,
TPA 1,Droite,ACTARUS,Baie de disques,1,Rackable,4,DELL,EqualLogic PS6100,BWGBF02,1080,,,,∞,,bureautique,ATL,Déménagement,4,S1,3,,0,,10,,,,,,,,,,,,,,,,,,
TPA 1,Droite,ALCOR,Baie de disques,1,Rackable,4,DELL,EqualLogic PS6100,5QP5G5J,1080,,,,∞,,bureautique,ATL,Déménagement,4,S1,3,,0,,10,,,,,,,,,,,,,,,,,,
TPA 1,Droite,CDL-AUTH-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,159M15J,1100,,,,,,ATL – authentification,ATL,Déménagement,4,S1,3,,0,,1,,,,4,,,,,,,,,,,,,,
TPA 1,Droite,CENTREON,Serveur,1,Rackable,2,HP,Proliant DL380G7,CZ31535FEY,460,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,0,,2,,,,,,,,,,,,,,,,,,
TPA 1,Droite,CITRIX-VDI,Serveur,1,Rackable,2,DELL,PowerEdge R720,BJPM5Y1,1100,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,0,,3,,,,4,,,,,,,,,,,,,,
TPA 1,Droite,GLPI,Serveur,1,Rackable,5,DELL,PowerEdge T610,BWH3Y4J,870,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,0,,5,,,,,,,,,,,,,,,,,,
TPA 1,Droite,R730-1.AUTH.RITAC.I2,Serveur,1,Rackable,2,DELL,PowerEdge R730,9HGMS62,750,,,,∞,,bureautique,ATL,Déménagement,4,S1,3,,0,,13,,,,4,,,,,,,,,,,,,,
TPA 1,Droite,R730-2.AUTH.RITAC.I2,Serveur,1,Rackable,2,DELL,PowerEdge R730,9HHKS62,750,,,,∞,,bureautique,ATL,Déménagement,4,S1,3,,0,,13,,,,4,,,,,,,,,,,,,,
TPA 1,Gauche,AUTH-VAUBAN,Serveur,1,Rackable,1,DELL,PowerEdge 860,9M0RG3J,345,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,0,,2,,,,,,,,,,,,,,,,,,
TPA 1,Gauche,CDL-AUTH-01,Serveur,1,Rackable,1,DELL,PowerEdge 860,8M0RG3J,345,,,,,,ATL – authentification,ATL,Déménagement,4,S1,3,,0,,1,,,,,,,,,,,,,,,,,,
