ID,Localisation,Rack,Nom du matériel,Type,Nb Elts,Architecture,U,MARQUE,MODELE,numéro de série,"CONSO(Watt)",I,"PDUOndulé","PDUNormal",cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,Baie,Id-baie,"FCTotal","FCCalculé","FCUtilisé","FCFutur","RJ45Total","RJ45Calculé","RJ45Utilisé","RJ45Futur","10GbpsFutur","RJ45CM","IPMI Dédié","IPMIUtilisé","IPMIFutur",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,,,IP,"Hostname <> Machine",Etat configuration réseau,Actions conf réseau à mener
1,TPA 1,Droite,ACTARUS,Baie de disques,1,Rackable,4,DELL,EqualLogic PS6100,BWGBF02,1080,,,,∞,,bureautique,ATL,Déménagement,4,S1,2,,S1-2-,0,0,0,0,,10,10,10,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
2,TPA 1,Droite,ALCOR,Baie de disques,1,Rackable,4,DELL,EqualLogic PS6100,5QP5G5J,1080,,,,∞,,bureautique,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,10,10,10,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
3,TPA 1,Droite,CDL-AUTH-02,Serveur,1,Rackable,2,DELL,PowerEdge R810,159M15J,1100,,,,,,ATL – authentification,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,4,1,1,,4,0,,1,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
4,TPA 1,Droite,CENTREON,Serveur,1,Rackable,2,HP,Proliant DL380G7,CZ31535FEY,460,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,2,2,2,,2,,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
5,TPA 1,Droite,CITRIX-VDI,Serveur,1,Rackable,2,DELL,PowerEdge R720,BJPM5Y1,1100,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,4,2,2,,4,1,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
6,TPA 1,Droite,GLPI,Serveur,1,Rackable,5,DELL,PowerEdge T610,BWH3Y4J,870,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,4,4,4,,4,1,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
7,TPA 1,Droite,R730-1.AUTH.RITAC.I2,Serveur,1,Rackable,2,DELL,PowerEdge R730,9HGMS62,750,,,,∞,,bureautique,ATL,Déménagement,4,S1,2,,S1-2-,0,0,0,0,,4,12,12,,4,1,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
8,TPA 1,Droite,R730-2.AUTH.RITAC.I2,Serveur,1,Rackable,2,DELL,PowerEdge R730,9HHKS62,750,,,,∞,,bureautique,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,4,12,12,,4,1,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
9,TPA 1,Gauche,AUTH-VAUBAN,Serveur,1,Rackable,1,DELL,PowerEdge 860,9M0RG3J,345,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,2,2,2,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
10,TPA 1,Gauche,CDL-AUTH-01,Serveur,1,Rackable,1,DELL,PowerEdge 860,8M0RG3J,345,,,,,,ATL – authentification,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,2,1,1,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
11,TPA 1,Gauche,EX-FOG,Serveur,1,Rackable,5,DELL,PowerEdge 2900,FG6Y63J ,930,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,2,1,1,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
12,TPA 1,Gauche,FOG,Serveur,1,Rackable,2,HP,Proliant DL380G7,CZ3217FM7T,460,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,2,1,1,,2,,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
13,TPA 1,Gauche,GRPAPPLIS,Baie de disques,1,Rackable,4,DELL,EqualLogic PS6100XV,GJKSD5J,700,,,,∞,,ATL – applicatif,ATL,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,10,10,10,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
14,TPA 1,Gauche,GRPREPLICA,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,7YDCCG1,440,,,,,,ATL – applicatif,ATL,Déménagement,4,Stock,,,Stock--,0,0,0,0,,10,0,0,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Stocker
15,TPA 1,Gauche,GRPVEEAM,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,5CNKWP1,440,,,,∞,,ATL – applicatif,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,10,8,8,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
16,TPA 1,Gauche,HP01.AUTH.RITAC.I2,Serveur,1,Rackable,1,HP,Proliant DL360pG8,CZJ422010L,750,,,,∞,,ATL – applicatif,ATL,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,8,,,4,1,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
17,TPA 1,Gauche,HP02.AUTH.RITAC.I2,Serveur,1,Rackable,1,HP,Proliant DL360pG8,CZJ422010M,750,,,,∞,,ATL – applicatif,ATL,Déménagement,3,S1,2,,S1-2-,0,0,0,0,,4,8,,,4,1,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
18,TPA 1,Gauche,HP03.AUTH.RITAC.I2,Serveur,1,Rackable,1,HP,Proliant DL360pG8,CZJ422010J,750,,,,∞,,ATL – applicatif,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,4,8,,,4,1,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
19,TPA 1,Gauche,HP04.AUTH.RITAC.I2,Serveur,1,Rackable,1,HP,Proliant DL360pG8,CZJ422010K,750,,,,∞,,ATL – applicatif,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,4,8,,,4,1,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
20,TPA 1,Gauche,NEOCORTECH,Serveur,1,Rackable,5,DELL,PowerEdge T610,9WH3Y4J,870,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,2,2,2,,2,1,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
21,TPA 1,Gauche,NEW-VAUBAN,Serveur,1,Rackable,1,DELL,PowerEdge R420,4QCYH42,550,,,,,,ATL – administration,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,2,2,2,,2,1,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
22,TPA 1,Table,,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000XV,53VG3H1,440,,,,,,bureautique,ATL,Déménagement,4,Stock,,,Stock--,0,0,0,0,,10,8,0,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Stocker
23,TPA 1,TPA12,,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,4Z6XMQ1,440,,,,,,Stock,ATL,Déménagement,4,Stock,,,Stock--,0,0,0,0,,10,8,0,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Stocker
24,TPA 12,TPA12,AUTH-ROBOT,Librairie,1,Rackable,4,DELL,PowerVault TL4000,43NRJL1,180,,,,,,ATL – sauvegarde,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,1,1,1,,1,,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
25,TPA 12,TPA12,HP-SAUV,Baie de disques,4,Rackable,8,HP,"StorageWorks P2000 G3, D2600 SAS *3",2S6416C054,1200,,,,,,ATL – sauvegarde,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,6,6,,,6,,,,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,?
29,TPA 12,TPA12,REPL-APPLIS-0,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,6BNKWP1,440,,,,,,ATL – applicatif,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,10,0,0,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
30,TPA 12,TPA12,REPL-APPLIS-1,Baie de disques,1,Rackable,3,DELL,EqualLogic PS6000,DCPKWP1,440,,,,,,ATL – applicatif,ATL,Déménagement,4,S1,3,,S1-3-,0,0,0,0,,10,0,0,,10,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
