ID,Localisation,Rack,Nom du matériel,MODELE,Type,Nb Elts,Architecture,U,MARQUE,numéro de série,"CONSO (Watt)",I,"PDU Ondulé","PDU Normal",cluster,critique,domaine,gestion,Action,Phase,Salle,Îlot,Baie,Id-baie,"FC Total","FC Calculé","FC Utilisé","FC Futur","RJ45 Total","RJ45 Calculé","RJ45 Utilisé","RJ45 Futur","10Gbps Futur","RJ45 CM","IPMI Dédié","IPMI Utilisé","IPMI Futur",Slot 1,Slot 2,Slot 3,Slot 4,Slot 5,Slot 6,Slot 7,,,,,,,,IP,"Hostname <> Machine",Etat configuration réseau,Actions conf réseau à mener
282,TPB -1,ROUEN,ADMIN-01,Express5800 - 120RG-2,Serveur,1,Rackable,2,BULL,800063990093,600,"2,61",,,,,Singleton Messagerie,DOIP,A dégager,0,,,,--,0,0,0,0,,2,2,0,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.99,,,Déclasser
283,TPB -1,ROUEN,ADMIN-02,Express5800 - 120RG-2,Serveur,1,Rackable,2,BULL,,600,"2,61",,,,,Singleton Messagerie,DOIP,A dégager,0,,,,--,0,0,0,0,,2,2,0,,2,0,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.128.100,,,Déclasser
291,TPB -1,SINGLE 1,ARGENT,Express5800 - 120RD-1,Serveur,1,Rackable,1,BULL,800023890097,350,"1,52",2.11,,,,Singleton admin,DOIP,A dégager,0,,,,--,0,0,0,0,,2,1,0,,2,1,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.167.160.4,,,Déclasser
188,TPB -1,ETAGERES,ASTREINTE,,Micro,1,Tour,0,HP,CZC732189N,,"0,00",,,,,Singleton admin,DOIP,Virtualisé,0,,,,--,0,0,0,0,,1,1,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,10.166.136.136,,,Virtualiser et déclasser
128,TPB -1,DIEPPE,BAIE AJARIS,EXP 400,Baie de disques,1,Rackable,3,IBM,,500,,,,,,Singleton DG,ATL,A dégager,0,,,,--,0,0,0,0,,1,,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Déclasser
189,TPB -1,ETAGERES,CGDD-01,PowerEdge 2800,Serveur,1,Tour,0,DELL,6KQD72J,320,"1,39",,,,,Singleton DG,CGDD,A dégager,0,,,,--,0,0,0,0,,2,1,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Déclasser
190,TPB -1,ETAGERES,CGDD-02,PowerEdge 2800,Serveur,1,Tour,0,DELL,4ZDJY1J,320,"1,39",,,,,Singleton DG,CGDD,Transfert interne,0,TPB -2,,,TPB -2--,0,0,0,0,,2,1,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
191,TPB -1,ETAGERES,CGDD-03,PowerEdge 2800,Serveur,1,Tour,0,DELL,9JZ9Y1J,320,"1,39",,,,,Singleton DG,CGDD,Transfert interne,0,TPB -2,,,TPB -2--,0,0,0,0,,2,1,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,?,?
192,TPB -1,ETAGERES,CGEDD - APPLI RESERVATION,Sempron,Micro,1,Tour,0,HP,CZC0368W2M,,"0,00",,,,,Singleton DG,CGEDD,A virtualiser,0,,,,--,0,0,0,0,,1,1,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Virtualiser et déclasser
193,TPB -1,ETAGERES,CGEDD – CGPC – SIMP,Sempron,Micro,1,Tour,0,HP,CZC9446C1Y,,"0,00",,,,,Singleton DG,CGEDD,Virtualisé,0,,,,--,0,0,0,0,,1,1,0,,1,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Virtualiser et déclasser
43,TPB -1,CGEDD,CGEDD – SIMP1,Proliant ML150G6,Serveur,1,Tour,10,HP,CZ31535E77,,"0,00",,,,,Singleton DG,CGEDD,A virtualiser,0,,,,--,0,0,0,0,,2,1,0,,2,,,0,,,,,,,,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,Err :502,-,,,Virtualiser et déclasser
