"ID","Localisation","Rack","Nom du matériel","MODELE","Type","Nb Elts","Architecture","U","MARQUE","numéro de série","CONSO(Watt)","I","PDUOndulé","PDUNormal","cluster","critique","domaine","gestion","Action","Phase","Salle","Îlot","Baie","Baie00","FCTotal","FCCalculé","FCUtilisé","FCFutur","RJ45Total","RJ45Calculé","RJ45Utilisé","RJ45Futur","10GbpsFutur","RJ45CM","IPMI Dédié","IPMIUtilisé","IPMIFutur","Slot 1","Slot 2","Slot 3","Slot 4","Slot 5","Slot 6","Slot 7",,,,,,,,"IP","Hostname <> Machine","Etat configuration réseau","Actions conf réseau à mener","IPMI Futur","RJ Futur","RJabrancher","Couleurcable","confswitch","nomcable","SommeRJ",,,,,,,
190,"TPB -1","ETAGERES","CGDD-02","PowerEdge 2800","Serveur",1,"Tour",0,"DELL","4ZDJY1J",320,"1,39",,,,,"Singleton DG","CGDD","Transfert interne",5,"TPB -2",,,"00",0,0,0,0,,2,1,0,,2,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,"?","?",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
191,"TPB -1","ETAGERES","CGDD-03","PowerEdge 2800","Serveur",1,"Tour",0,"DELL","9JZ9Y1J",320,"1,39",,,,,"Singleton DG","CGDD","Transfert interne",5,"TPB -2",,,"00",0,0,0,0,,2,1,0,,2,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,"?","?",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
205,"TPB -1","ETAGERES","PS-OBS1","Escala PowerPC","Serveur",1,"Tour",0,"BULL","XAN-F05-00145",400,"1,74",,,,,"Singleton DG","DOIP/DOIF","Transfert interne",5,"TPB -2",,,"00",0,0,0,0,,1,1,0,,1,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","10.167.62.4",,"Je ne peux pas m'authentifier sur la machine","?",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
286,"TPB -1","ROUEN","TUNGSTENE","Express5800 - 120RD-1","Serveur",1,"Rackable",1,"BULL",800023910092,350,"1,52",,,,,"Singleton admin","DOIP","Transfert interne",5,"TPB -2",,,"00",0,0,0,0,,2,2,0,,2,0,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","10.167.151.3",,,"Déclasser",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
319,"TPB -1","SINGLE 3","URANIUM","Express5800 - 140RC-4","Serveur",1,"Rackable",4,"BULL",800024750093,800,"3,48",,,,,"Singleton admin","DOIP","Transfert interne",5,"TPB -2",,,"00",0,0,0,0,,2,2,0,,2,0,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","10.167.134.3",,,"Déclasser",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
182,"TPB -1","DON-04","APC ONDULEUR","SMT2200RMI2U","Onduleur",1,"Rackable",2,"APC",,100,"0,43",,,,,"Stockage Pillar","DOIP","Déménagement",1,"Stock",,,"00",0,0,0,0,,1,0,0,,1,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,"?","?",0,0,0,0,0,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
183,"TPB -1","DON-04","APC ONDULEUR","SMT2200RMI2U","Onduleur",1,"Rackable",2,"APC",,100,"0,43",,,,,"Stockage Pillar","DOIP","Déménagement",1,"Stock",,,"00",0,0,0,0,,1,0,0,,1,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,"?","?",0,0,0,0,0,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
179,"TPB -1","DON 3","APS ONDULEUR","SMT2200RMI2U","Onduleur",1,"Rackable",2,"APC",,100,"0,43",,,,,"Stockage Pillar","DOIP","Déménagement",4,"Stock",,,"00",0,0,0,0,,1,0,0,,1,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,"?","Déménagement en l'état",0,0,0,0,0,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
180,"TPB -1","DON 3","APS ONDULEUR","SMT2200RMI2U","Onduleur",1,"Rackable",2,"APC",,100,"0,43",,,,,"Stockage Pillar","DOIP","Déménagement",4,"Stock",,,"00",0,0,0,0,,1,0,0,,1,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,"?","Déménagement en l'état",0,0,0,0,0,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
320,"TPB -1","Stock","BLADE CENTER","M1000e","Blade",1,"Rackable",10,"DELL","GGZZ75J",,,,,,,"Stock","DOIP","Déménagement",4,"Stock",,,"00",0,0,0,0,,2,,0,,2,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,,"Stocker",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
321,"TPB -1","Stock","BLADE CENTER","M1000e","Blade",1,"Rackable",10,"DELL","BGCC05J",,,,,,,"Stock","DOIP","Déménagement",4,"Stock",,,"00",0,0,0,0,,2,,0,,2,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,,"Stocker",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
322,"TPB -1","Stock","BO-PROD-01","PowerEdge 2950","Serveur",1,"Rackable",2,"DELL","FXLM03J",350,"1,52","D.39","G2-D2",,,"Stock","DOIP","Déménagement",4,"Stock",,,"00",0,0,0,0,,2,2,0,,2,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,,"Stocker",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
115,"TPB -1","DEM5","Disponible (Récup SMILE)","PowerEdge R710","Serveur",1,"Rackable",2,"DELL","4SQH05J",,,,,,,"Stock","DOIP","Déménagement",4,"Stock",,,"00",0,0,0,0,,4,1,0,,4,,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,,"Stocker",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
326,"TPB -1","Stock","Disponible (Récup SMILE)","PowerEdge R410","Serveur",1,"Rackable",1,"DELL","1MPH05J",,,,,,,"Stock","DOIP","Déménagement",4,"Stock",,,"00",0,0,0,0,,2,,0,,2,1,,0,,,,,,,,"Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","Err :502","-",,,"Stocker",0,0,,,,,0,"#VALEUR !","#VALEUR !","#VALEUR !","#VALEUR !",,,
